municipio,departamento,lat,lon,poblacion,riesgo
Chibolo,Magdalena,10.0889797,-74.5113823303251,15960,ALTO
Ciénaga,Magdalena,10.8567448,-73.9538368494131,104319,SIN RIESGO
El Banco,Magdalena,8.9953753,-73.9723091,55530,SIN RIESGO
El Piñon,Magdalena,10.4042864,-74.8243075,16752,MEDIO
El Retén,Magdalena,10.612076,-74.2695268,22975,ALTO
Fundación,Magdalena,10.4593846,-73.8407632291165,57344,MEDIO
Guamal,Meta,3.7943196,-73.5522759,9366,MEDIO
Nueva Granada,Magdalena,9.8018198,-74.3923786,19783,ALTO
Pedraza,Magdalena,10.1886281,-74.9159974,5619,MEDIO
Pijiño Del Carmen,Magdalena,9.3304217,-74.4535166,15759,ALTO
Pivijay,Magdalena,10.4648793,-74.6163043,33924,MEDIO
Plato,Magdalena,9.7707167,-74.6136481688431,57848,MEDIO
Puebloviejo,Magdalena,10.83305295,-74.3679709249293,30462,ALTO
Remolino,Magdalena,10.6403119,-74.5905856529434,8150,ALTO
Sabanas De San Angel,Magdalena,10.0311352,-74.2143346,16865,SIN RIESGO
San Sebastián De Buenavista,Magdalena,9.2397583,-74.3515536,17483,MEDIO
San Zenón,Magdalena,9.2448808,-74.4984302,9107,ALTO
Santa Ana,Magdalena,9.3229035,-74.5696573,25938,ALTO
Santa Bárbara De Pinto,Magdalena,9.4316572,-74.70475,12610,ALTO
Santa Marta,Magdalena,11.08665565,-73.8803519997939,483722,SIN RIESGO
Sitionuevo,Magdalena,10.9107812,-74.6017517675674,31706,INVIABLE SANITARIAMENTE
Tenerife,Magdalena,9.9003487,-74.8589973,12243,ALTO
Zapayán,Magdalena,10.1682143,-74.7159253,8801,INVIABLE SANITARIAMENTE
Acacías,Meta,3.9861122,-73.7583005,68888,MEDIO
Barranca De Upía,Meta,4.5656099,-72.960156934477,3926,MEDIO
Cabuyaro,Meta,4.2887655,-72.7898901,4018,MEDIO
Castilla La Nueva,Meta,3.8275343,-73.6892805,9612,MEDIO
Cubarral,Meta,3.8062823,-73.8443539,5946,ALTO
Cumaral,Meta,4.2681176,-73.4869533,18020,MEDIO
El Calvario,Meta,4.3527082,-73.7141414,2240,ALTO
El Castillo,Meta,3.5647959,-73.7942913,6362,INVIABLE SANITARIAMENTE
El Dorado,Meta,3.7335285,-73.5764641,3429,MEDIO
Fuente De Oro,Meta,3.4600781,-73.618952,13263,ALTO
La Macarena,Meta,3.6337275,-73.8548887,32861,MEDIO
Lejanías,Meta,3.61861615,-74.1252900817714,9403,ALTO
Mesetas,Meta,3.3840276,-74.0438661,11287,ALTO
Puerto Concordia,Meta,2.6236384,-72.7585944,20897,BAJO
Puerto Gaitán,Meta,4.3120724,-72.0829509,18556,MEDIO
Puerto Lleras,Meta,3.390313,-73.5585405,1941,MEDIO
Puerto López,Meta,4.085013,-72.9584671,33440,ALTO
Restrepo,Valle del Cauca,3.822009,-76.5222535,16227,MEDIO
San Carlos De Guaroa,Meta,3.71161,-73.24344,9581,MEDIO
San Juan De Arama,Meta,3.34639,-73.88944,8837,ALTO
San Juanito,Meta,3.7936173,-73.3226523,2165,ALTO
Uribe,Meta,3.2413296,-74.3510657,16155,MEDIO
Villavicencio,Meta,4.1315113,-73.6206667,484429,MEDIO
Vista Hermosa,Meta,3.12632435,-73.7518683691829,10696,ALTO
Aldana,Nariño,0.8822547,-77.7003164,6085,MEDIO
Ancuyá,Nariño,1.2615284,-77.5147482,7083,ALTO
Arboleda,Nariño,1.3438199,-77.539261,6837,ALTO
Barbacoas,Nariño,1.49613655,-78.0764462033363,37851,ALTO
Buesaco,Nariño,1.3292917,-77.123151775,25063,ALTO
Chachagüí,Nariño,1.4051167,-77.2743657529271,13784,ALTO
Colón,Putumayo,1.1894909,-76.9725122,5519,MEDIO
Consaca,Nariño,1.2082795,-77.4656149,9386,ALTO
Contadero,Nariño,0.927464,-77.5219475338443,6954,ALTO
Cuaspud,Nariño,0.87509105,-77.7420113843592,8592,ALTO
Cumbal,Nariño,0.9396153,-77.9922470796222,37635,ALTO
Cumbitara,Nariño,1.7410705,-77.5962311499926,15239,ALTO
El Charco,Nariño,2.4771921,-78.110211,36856,ALTO
El Peñol,Nariño,1.52412415,-77.4245481577532,6500,ALTO
El Rosario,Nariño,1.7432036,-77.3350718,10201,ALTO
El Tablón De Gómez,Nariño,1.4272902,-77.0972848,12757,ALTO
Francisco Pizarro,Nariño,2.0419186,-78.6441196,15039,ALTO
Funes,Nariño,1.0004497,-77.4481684,29106,ALTO
Guachucal,Nariño,0.9573434,-77.7333581,15652,ALTO
Guaitarilla,Nariño,1.1305245,-77.5483421,12011,ALTO
Gualmatán,Nariño,0.919293,-77.5685523,5767,ALTO
Iles,Nariño,0.9522313,-77.5225186,8701,ALTO
Imués,Nariño,1.050682,-77.5082921,6236,ALTO
Ipiales,Nariño,0.6328242,-77.3611063718615,138679,ALTO
La Cruz,Nariño,1.6003354,-76.9711667,18220,ALTO
La Florida,Nariño,1.2986074,-77.4044845,9555,MEDIO
La Llanada,Nariño,1.4731983,-77.580349,29935,ALTO
La Tola,Nariño,2.3992361,-78.1901271,12584,MEDIO
Leiva,Nariño,2.0178816,-77.2964533,13849,ALTO
Linares,Nariño,1.3511321,-77.523491,10042,ALTO
Los Andes,Nariño,1.4921286,-77.5210914,19414,ALTO
Magüi,Nariño,1.1476319,-78.0934952,22437,INVIABLE SANITARIAMENTE
Mallama,Nariño,1.140854,-77.8645961,7755,ALTO
Olaya Herrera,Nariño,2.31012795,-78.3042099848314,31204,INVIABLE SANITARIAMENTE
Ospina,Nariño,1.0585375,-77.5660131,76227,ALTO
Pasto,Nariño,1.2146286,-77.2782516,440040,MEDIO
Policarpa,Nariño,1.6284964,-77.4598774,16834,ALTO
Potosí,Nariño,0.8067538,-77.5724665,12137,ALTO
Puerres,Nariño,0.8835077,-77.5036766,8384,ALTO
Pupiales,Nariño,0.8707969,-77.6419358,19388,ALTO
Roberto Payán,Nariño,1.86934395,-78.3694192658009,22613,ALTO
Samaniego,Nariño,1.3385009,-77.5929381,49545,ALTO
San Andres De Tumaco,Nariño,2.2830077,-78.5019373,199659,ALTO
San Lorenzo,Nariño,1.5031548,-77.2153366,19849,ALTO
San Pedro De Cartago,Nariño,1.5384785,-77.101325044183,7539,ALTO
Sandoná,Nariño,1.29918535,-77.4759348140889,25685,BAJO
Sapuyes,Nariño,1.0377201,-77.6209192,6355,MEDIO
Taminango,Nariño,1.5696216,-77.2772963,20537,ALTO
Tangua,Nariño,1.0955415,-77.3931457,9629,ALTO
Túquerres,Nariño,1.0877864,-77.6190579,40599,ALTO
Yacuanquer,Nariño,1.1158819,-77.4017561,10968,ALTO
Abrego,Norte de Santander,8.1420669,-73.1196354,37997,MEDIO
Arboledas,Norte de Santander,7.6707185,-72.7237135,8984,MEDIO
Bochalema,Norte de Santander,7.644363,-72.6538619299259,6973,MEDIO
Bucarasica,Norte de Santander,8.0649425,-72.9391079,4570,MEDIO
Cachirá,Norte de Santander,7.7419001,-73.0485225,10970,MEDIO
Cácota,Norte de Santander,7.2597706,-72.6557234511297,1925,ALTO
Chinácota,Norte de Santander,7.5779229,-72.5974892069276,16348,MEDIO
Chitagá,Norte de Santander,7.06863155,-72.5373897377475,10373,MEDIO
Convención,Norte de Santander,8.5833769,-73.2830742,13569,ALTO
Cúcuta,Norte de Santander,7.8971458,-72.5080387,649983,SIN RIESGO
Cucutilla,Norte de Santander,7.49960565,-72.7766245432376,7686,ALTO
Durania,Norte de Santander,7.7141729,-72.6566936,3768,MEDIO
El Carmen,Norte de Santander,8.6473135,-73.4082035,14005,MEDIO
El Tarra,Norte de Santander,8.6474367,-73.0336777,10957,MEDIO
El Zulia,Norte de Santander,7.9312397,-72.6011047,22843,MEDIO
Gramalote,Norte de Santander,7.8334255,-72.4773583,5567,MEDIO
Hacarí,Norte de Santander,8.3208498,-73.1453266,10657,MEDIO
Herrán,Norte de Santander,7.5061961,-72.4826476,4045,MEDIO
La Esperanza,Norte de Santander,7.6392286,-73.3280335,12012,MEDIO
La Playa,Norte de Santander,8.2670915,-72.757907,8546,MEDIO
Labateca,Norte de Santander,7.27873485,-72.5106496016223,5867,ALTO
Los Patios,Norte de Santander,7.8342202,-72.5059128,76524,BAJO
Lourdes,Norte de Santander,7.9449398,-72.8329198,3365,MEDIO
Mutiscua,Norte de Santander,7.3149017,-72.7744414392669,3759,MEDIO
Ocaña,Norte de Santander,8.1758238,-73.3670106,98229,BAJO
Pamplona,Norte de Santander,7.36771875,-72.6464137084406,57393,BAJO
Pamplonita,Norte de Santander,7.47997285,-72.6365922307202,4932,MEDIO
Puerto Santander,Norte de Santander,8.3546568,-72.4145867,2932,BAJO
Ragonvalia,Norte de Santander,7.5779537,-72.4760325,6891,BAJO
Salazar,Norte de Santander,7.7729738,-72.8120671,14447,MEDIO
San Calixto,Norte de Santander,8.4585022,-73.1876326,13514,ALTO
Santiago,Putumayo,1.146773,-77.0024767,10428,MEDIO
Sardinata,Norte de Santander,8.1348124,-72.788915,22632,MEDIO
Silos,Norte de Santander,7.2054262,-72.7562972,4445,MEDIO
Teorama,Norte de Santander,8.5432291,-73.1876191,21524,ALTO
Tibú,Norte de Santander,8.7828443,-72.8988647,36502,BAJO
Villa Caro,Norte de Santander,7.9144121,-72.972949,5192,MEDIO
Villa Del Rosario,Norte de Santander,7.8318933,-72.4717181,88433,BAJO
Leguízamo,Putumayo,-0.3560227,-74.6440533,15445,BAJO
Mocoa,Putumayo,1.1466295,-76.6482327,42074,ALTO
Orito,Putumayo,0.6867328,-76.8757743,52580,ALTO
Puerto Asís,Putumayo,0.5932591,-76.5765084,60138,ALTO
Puerto Caicedo,Putumayo,0.6841941,-76.6044095,14575,MEDIO
Puerto Guzmán,Putumayo,0.7558808,-75.8794798330084,23699,MEDIO
San Miguel,Santander,6.57523185,-72.6451075120451,26551,SIN RIESGO
Sibundoy,Putumayo,1.22919055,-76.9114198971932,14136,ALTO
Valle Del Guamuez,Putumayo,0.44932225,-76.8784508864243,51842,ALTO
Villagarzón,Putumayo,0.9227343,-76.7800669458213,21134,ALTO
Calarca,Quindio,4.5299057,-75.6402893,19656,SIN RIESGO
Circasia,Quindio,4.6113471,-75.6624256638335,29886,BAJO
Filandia,Quindio,4.6910514,-75.6495398,13414,SIN RIESGO
Génova,Quindio,4.1343672,-75.7347858,7916,SIN RIESGO
La Tebaida,Quindio,4.4512175,-75.7887314,42141,BAJO
Montenegro,Quindio,4.5664176,-75.7507081,41286,SIN RIESGO
Pijao,Quindio,4.3341444,-75.7038062,6139,BAJO
