municipio,departamento,lat,lon,poblacion,riesgo
Obando,Valle del Cauca,4.5746578,-75.9721783,14980,MEDIO
Palmira,Valle del Cauca,3.5308373,-76.2988048,304763,MEDIO
Pradera,Valle del Cauca,3.42173305,-76.1743753121788,55137,MEDIO
Riofrío,Valle del Cauca,4.1069217,-76.383876769964,14716,ALTO
Roldanillo,Valle del Cauca,4.4440112,-76.1663909263439,32778,BAJO
Sevilla,Valle del Cauca,4.1569974,-75.8737996258707,45142,BAJO
Toro,Valle del Cauca,4.6094813,-76.0780048,16394,MEDIO
Trujillo,Valle del Cauca,4.2122451,-76.3186782,18100,MEDIO
Tuluá,Valle del Cauca,4.0856667,-76.1972779,211581,MEDIO
Ulloa,Valle del Cauca,4.7036572,-75.7379416,5457,MEDIO
Versalles,Valle del Cauca,4.61728755,-76.2319256505117,7214,ALTO
Vijes,Valle del Cauca,3.75606075,-76.4885301459711,11010,ALTO
Yotoco,Valle del Cauca,3.89766105,-76.387873049896,16263,MEDIO
Yumbo,Valle del Cauca,3.5842137,-76.4949945,117118,MEDIO
Zarzal,Valle del Cauca,4.3669411,-76.0568885033836,45227,SIN RIESGO
Caruru,Vaupés,1.5524104,-70.2038516,3327,SIN RIESGO
Mitú,Vaupés,1.2572233,-70.2333935,31568,MEDIO
Cumaribo,Vichada,4.4471495,-69.7975845,36867,ALTO
La Primavera,Vichada,4.5142162,-69.4009237,15342,MEDIO
Puerto Carreño,Vichada,6.1879711,-67.4894667,15753,BAJO
Santa Rosalía,Vichada,5.1357449,-70.8629281,4012,BAJO
