AÑO,DEPARTAMENTO,MUNICIPO,TOTAL MUESTRAS,RESULTADO COLOR APARENTE,RESULTADO TURBIEDAD,RESULTADO PH,RESULTADO CLORO RESIDUAL LIBRE,RESULTADO ALCALINIDAD TOTAL,RESULTADO CALCIO,RESULTADO FOSFATOS,RESULTADO MANGANESO,RESULTADO MOLIBDENO,RESULTADO MAGNESIO,RESULTADO ZINC,RESULTADO DUREZA TOTAL,RESULTADO SULFATOS,RESULTADO HIERRO TOTAL,RESULTADO CLORUROS,RESULTADO NITRATOS,RESULTADO NITRITOS,RESULTADO ALUMINIO,RESULTADO FLORUROS,RESULTADO COT,RESULTADO COLIFORMES TOTALES,RESULTADO E.COLI,RESULTADO ANTIMONIO,RESULTADO ARSÉNICO,RESULTADO BARIO,RESULTADO CADMIO,RESULTADO CIANURO LIBRE Y DIASOCIABLE,RESULTADO COBRE,RESULTADO Cromo total,RESULTADO MERCURIO,RESULTADO NIQUEL,RESULTADO PLOMO,RESULTADO SELENIO,RESULTADO TRIHALOMETANOS TOTALES,RESULTADO HIDROCARBUROS AROMÁTICOS POLICICLICOS,RESULTADO GIARDIA,RESULTADO CRYPTOSPORIDIUM,RESULTADO PLAGUICIDAS TOTALES,RESULTADO ORGANOFOSFORADOS Y CARBAMATOS,RESULTADO MESÓFILOS,IRCA PROMEDIO,IRCA BASE PROMEDIO,NIVEL DE RIESGO PROMEDIO
2015,Antioquia,Abejorral,44,6.7815,0.828888889,7.131818182,1.036363636,,,,,,,,,,,,,,,0.035,4,0,0,,,,,,,,,,,,,,,,,,,0.79159,0.79159,SIN RIESGO
2015,Antioquia,Abriaquí,24,5.555555556,0.942888889,7.375,1.620833333,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,4.630416,4.630416,SIN RIESGO
2015,Antioquia,Alejandría,28,3.676777778,0.237777778,6.625,1.021428571,,,,,,,,,,,,,,,0.035,4,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,Amagá,26,5.173913043,0.874956522,7.127307692,0.719230769,36.93333333,,,,,,,32.8,,0.147,11.22333333,,,0.258,0.037,1.25,0.115384615,0,,,,,,,,,,,,,,,,,,,4.023846,4.023846,SIN RIESGO
2015,Antioquia,Amalfi,58,3.094444444,0.39375,7.629824561,0.973684211,,,,,,,,,,,,,,,0.038,0.51,0.689655172,0,,,,,0.023,,,0.0001,,,,,,,,,,,1.124827,1.124827,SIN RIESGO
2015,Antioquia,Andes,26,4.5,0.555,6.741923077,1.3684,9.84,,,,,,,14.93333333,,0.086333333,5.533333333,,,0.1975,0.01,,0.038461538,0,,,,,0.049,,,0.0026,,,,,,,,,,,4.8,0.953846,SIN RIESGO
2015,Antioquia,Angelópolis,26,4.777777778,0.371,7.481923077,1.169230769,,,,,,,,,,,,,,,0.02,1,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,Angostura,29,6.611818182,1.006,6.844827586,1.010344828,5.666666667,,,,,,,6.273333333,,0.094,1.383333333,,,0.093,,0.776,0,0,,,,,,,,,,,,,,,,,,0,0.851379,0.851379,SIN RIESGO
2015,Antioquia,Anorí,25,8.34,1.042222222,7.388,1.448,,,,,,,,,,,,,,,,1.029,60,0,,,,,,,,,,,,,,,,,,,1.8576,1.8576,SIN RIESGO
2015,Antioquia,Anza,22,5.6,0.927166667,7.404545455,1.022727273,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0.879545,0.879545,SIN RIESGO
2015,Antioquia,Apartadó,138,3.174851852,0.757857143,7.670258621,1.145588235,119.58,,,,,,,140.7666667,,0.03,10.67,,,,,1.68,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,Arboletes,26,3,1.057142857,6.953846154,1.303846154,42.565,,,,,,,68.26,,0.06,54.11,,,0,0,5.07,0,0,,,,,,,,,,,,,,,,,,,0.141538,0.141538,SIN RIESGO
2015,Antioquia,Argelia,154,12.2172037,1.183518519,7.219594595,0.010638298,,,,,,,,,,,,,,,0.035,4,152.6266234,32.4974026,,,,,,,,,,,,,,,,,,,89.17461,89.17461,INVIABLE SANITARIAMENTE
2015,Antioquia,Armenia,25,3.5,0.191125,7.242,1.224,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,Barbosa,41,5.903125,0.60125,7.123846154,1.058974359,18.34375,,,,,,,27.196875,16.53521875,,28.9779375,,0.0068125,0.0408125,,,0.475,0,,,,,,,,,,,,,,,,,,,1.003414,1.003414,SIN RIESGO
2015,Antioquia,Bello,127,3.007692308,0.438461538,7.880384615,1.019824561,20,,,,,,,54,3.34,0.073,8.35,0.01,0.02,0.075,,,1.118110236,0,,,,,,,,,,,,,,,,,,0,0.858897,0.858897,SIN RIESGO
2015,Antioquia,Belmira,29,9.686,0.8535,7.086206897,1.255172414,8.866666667,,,,,,,9.066666667,,0.054666667,2.153333333,,,0.065333333,,1.677,0,0,,,,,,,,,,,,,,,,,,,0.266896,0.266896,SIN RIESGO
2015,Antioquia,Betania,26,10,0.3603,6.7188,0.996,,,,,,,,,,,,,,,0.01,2.64,3.076923077,0.192307692,,,,,,,,,,,,,,,,,,,3.528461,3.528461,SIN RIESGO
